date currency_code rate
2020-05-14 KZT 17,4485
2020-05-14 CAD 52,3640
2020-05-14 KGS 94,9025
2020-05-14 CNY 10,3720
2020-05-14 MDL 41,1647
2020-05-14 NOK 72,4652
2020-05-14 PLN 17,4675
2020-05-14 RON 16,4997
2020-05-14 XDR 100,2031
2020-05-14 SGD 51,9206
2020-05-14 TJS 71,6649
2020-05-14 TRY 10,5201
2020-05-14 TMT 21,0535
2020-05-14 UZS 72,5866
2020-05-14 UAH 27,5588
2020-05-14 CZK 28,9772
2020-05-14 SEK 75,1787
2020-05-14 CHF 75,8264
2020-05-14 ZAR 39,8410
2020-05-14 KRW 60,0718
2020-05-14 JPY 68,7585
2020-05-15 AUD 47,6182
2020-05-15 AZN 43,2136
2020-05-15 GBP 90,2683
2020-05-15 AMD 15,1601
2020-05-15 BYN 30,1385
2020-05-15 BGN 40,8768
2020-05-15 BRL 12,5581
2020-05-15 HUF 22,5630
2020-05-15 HKD 95,3859
2020-05-15 DKK 10,7221
2020-05-15 USD 73,9298
2020-05-15 EUR 79,9033
2020-05-15 INR 97,8393
2020-05-15 KZT 17,4750
2020-05-15 CAD 52,4585
2020-05-15 KGS 96,0536
2020-05-15 CNY 10,4206
2020-05-15 MDL 41,5336
2020-05-15 NOK 72,6904
2020-05-15 PLN 17,4936
2020-05-15 RON 16,5299
2020-05-15 XDR 100,7456
2020-05-15 SGD 52,0266
2020-05-15 TJS 72,0563
2020-05-15 TRY 10,6166
2020-05-15 TMT 21,1530
2020-05-15 UZS 72,9296
2020-05-15 UAH 27,7208
2020-05-15 CZK 29,0126
2020-05-15 SEK 75,2535
2020-05-15 CHF 76,0125
2020-05-15 ZAR 39,7838
2020-05-15 KRW 60,2245
2020-05-15 JPY 69,1935
2020-05-16 AUD 47,2908
2020-05-16 AZN 42,7903
2020-05-16 GBP 89,3840
2020-05-16 AMD 15,0104
2020-05-16 BYN 29,9385
2020-05-16 BGN 40,4786
2020-05-16 BRL 12,5978
2020-05-16 HUF 22,3805
2020-05-16 HKD 94,4430
2020-05-16 DKK 10,6161
2020-05-16 USD 73,2056
2020-05-16 EUR 79,1279
2020-05-16 INR 96,8648
2020-05-16 KZT 17,4108
2020-05-16 CAD 52,1185
2020-05-16 KGS 95,0722
2020-05-16 CNY 10,3108
2020-05-16 MDL 41,1267
2020-05-16 NOK 72,1159
2020-05-16 PLN 17,3761
2020-05-16 RON 16,3603
2020-05-16 XDR 99,4666
2020-05-16 SGD 51,4301
2020-05-16 TJS 71,3157
2020-05-16 TRY 10,5831
2020-05-16 TMT 20,9458
2020-05-16 UZS 72,1593
2020-05-16 UAH 27,4836
2020-05-16 CZK 28,8325
2020-05-16 SEK 74,5809
2020-05-16 CHF 75,2370
2020-05-16 ZAR 39,7824
2020-05-16 KRW 59,4795
2020-05-16 JPY 68,3813
2020-05-17 AUD 47,2908
2020-05-17 AZN 42,7903
2020-05-17 GBP 89,3840
2020-05-17 AMD 15,0104
2020-05-17 BYN 29,9385
2020-05-17 BGN 40,4786
2020-05-17 BRL 12,5978
2020-05-17 HUF 22,3805
2020-05-17 HKD 94,4430
2020-05-17 DKK 10,6161
2020-05-17 USD 73,2056
2020-05-17 EUR 79,1279
2020-05-17 INR 96,8648
2020-05-17 KZT 17,4108
2020-05-17 CAD 52,1185
2020-05-17 KGS 95,0722
2020-05-17 CNY 10,3108
2020-05-17 MDL 41,1267
2020-05-17 NOK 72,1159
2020-05-17 PLN 17,3761
2020-05-17 RON 16,3603
2020-05-17 XDR 99,4666
2020-05-17 SGD 51,4301
2020-05-17 TJS 71,3157
2020-05-17 TRY 10,5831
2020-05-17 TMT 20,9458
2020-05-17 UZS 72,1593
2020-05-17 UAH 27,4836
2020-05-17 CZK 28,8325
2020-05-17 SEK 74,5809
2020-05-17 CHF 75,2370
2020-05-17 ZAR 39,7824
2020-05-17 KRW 59,4795
2020-05-17 JPY 68,3813
2020-05-18 AUD 47,2908
2020-05-18 AZN 42,7903
2020-05-18 GBP 89,3840
2020-05-18 AMD 15,0104
2020-05-18 BYN 29,9385
2020-05-18 BGN 40,4786
2020-05-18 BRL 12,5978
2020-05-18 HUF 22,3805
2020-05-18 HKD 94,4430
2020-05-18 DKK 10,6161
2020-05-18 USD 73,2056
2020-05-18 EUR 79,1279
2020-05-18 INR 96,8648
2020-05-18 KZT 17,4108
2020-05-18 CAD 52,1185
2020-05-18 KGS 95,0722
2020-05-18 CNY 10,3108
2020-05-18 MDL 41,1267
2020-05-18 NOK 72,1159
2020-05-18 PLN 17,3761
2020-05-18 RON 16,3603
2020-05-18 XDR 99,4666
2020-05-18 SGD 51,4301
2020-05-18 TJS 71,3157
2020-05-18 TRY 10,5831
2020-05-18 TMT 20,9458
2020-05-18 UZS 72,1593
2020-05-18 UAH 27,4836
2020-05-18 CZK 28,8325
2020-05-18 SEK 74,5809
2020-05-18 CHF 75,2370
2020-05-18 ZAR 39,7824
2020-05-18 KRW 59,4795
2020-05-18 JPY 68,3813
2020-05-19 AUD 47,0939
2020-05-19 AZN 42,6583
2020-05-19 GBP 88,4296
2020-05-19 AMD 14,9979
2020-05-19 BYN 29,9687
2020-05-19 BGN 40,3515
2020-05-19 BRL 12,4667
2020-05-19 HUF 22,2924
2020-05-19 HKD 94,1480
2020-05-19 DKK 10,5869
2020-05-19 USD 72,9798
2020-05-19 EUR 78,9422
2020-05-19 INR 96,1336
2020-05-19 KZT 17,4819
2020-05-19 CAD 51,8912
2020-05-19 KGS 95,2587
2020-05-19 CNY 10,2583
2020-05-19 MDL 40,9424
2020-05-19 NOK 71,8135
2020-05-19 PLN 17,2954
2020-05-19 RON 16,3072
2020-05-19 XDR 99,2080
2020-05-19 SGD 51,1672
2020-05-19 TJS 71,1304
2020-05-19 TRY 10,6207
2020-05-19 TMT 20,8812
2020-05-19 UZS 71,9367
2020-05-19 UAH 27,4623
2020-05-19 CZK 28,5546
2020-05-19 SEK 74,2472
2020-05-19 CHF 75,0898
2020-05-19 ZAR 39,5006
2020-05-19 KRW 59,1648
2020-05-19 JPY 68,0464
2020-05-20 AUD 47,3370
